num machines: 3,ticks per second: 2,lifetime: 60,,,
sys_time,logical_time,action,to,fromname,queue_len
1614753361.29684,1,work,,,
1614753361.802314,2,receive,,0,1
1614753362.304356,4,receive,,0,1
1614753362.807421,6,receive,,2,1
1614753363.311778,8,receive,,2,1
1614753363.814763,9,work,,,
1614753364.362915,10,send,0,,
1614753364.389371,10,send,2,,
1614753364.821465,11,work,,,
1614753365.3247302,16,receive,,2,1
1614753365.824864,17,receive,,0,1
1614753366.367102,18,send,0,,
1614753366.830688,22,receive,,2,1
1614753367.3345869,25,receive,,2,1
1614753367.835252,26,receive,,2,1
1614753368.337485,29,receive,,2,1
1614753368.8413692,30,receive,,0,2
1614753369.3445601,31,receive,,2,1
1614753369.849667,34,receive,,2,1
1614753370.353555,36,receive,,2,1
1614753370.895075,37,send,2,,
1614753371.402816,38,send,0,,
1614753371.429779,38,send,2,,
1614753371.861395,39,work,,,
1614753372.365837,41,receive,,0,2
1614753372.866125,45,receive,,2,1
1614753373.368222,46,work,,,
1614753373.8723211,47,receive,,0,1
1614753374.375614,48,work,,,
1614753374.880515,49,work,,,
1614753375.420599,50,send,0,,
1614753375.8856142,59,receive,,2,1
1614753376.385611,60,work,,,
1614753376.886826,63,receive,,2,1
1614753377.390443,64,receive,,0,1
1614753377.8956149,66,receive,,2,1
1614753378.3993511,68,receive,,0,1
1614753378.90183,69,work,,,
1614753379.405591,72,receive,,2,2
1614753379.909258,73,receive,,0,2
1614753380.409866,75,receive,,2,1
1614753380.910517,79,receive,,2,2
1614753381.4141068,80,receive,,0,1
1614753381.917519,81,work,,,
1614753382.420876,82,work,,,
1614753382.924662,87,receive,,2,2
1614753383.427246,88,receive,,0,1
1614753383.930912,92,receive,,2,1
1614753384.4355788,94,receive,,2,1
1614753384.9408488,95,receive,,2,1
1614753385.445479,96,work,,,
1614753385.950219,97,work,,,
1614753386.454174,98,work,,,
1614753386.957042,103,receive,,2,1
1614753387.461525,104,work,,,
1614753387.965601,108,receive,,2,1
1614753388.465675,109,receive,,0,1
1614753388.967207,111,receive,,2,1
1614753389.511067,112,send,2,,
1614753389.973459,113,work,,,
1614753390.475689,114,work,,,
1614753390.9772701,120,receive,,2,1
1614753391.480631,122,receive,,2,1
1614753392.020907,123,send,0,,
1614753392.487288,124,work,,,
1614753392.991615,125,work,,,
1614753393.495127,126,work,,,
1614753393.9973052,132,receive,,0,1
1614753394.5004869,133,work,,,
1614753395.0045388,134,work,,,
1614753395.505502,138,receive,,2,1
1614753396.0419211,139,send,2,,
1614753396.5076602,140,work,,,
1614753397.04949,141,send,2,,
1614753397.510869,146,receive,,2,1
1614753398.043892,147,send,2,,
1614753398.515276,148,work,,,
1614753399.0172002,152,receive,,2,1
1614753399.5207272,153,receive,,0,1
1614753400.02442,154,work,,,
1614753400.525098,155,work,,,
1614753401.027241,158,receive,,0,1
1614753401.572352,159,send,2,,
1614753402.033045,161,receive,,0,1
1614753402.575134,162,send,0,,
1614753403.040967,167,receive,,2,1
1614753403.5444832,170,receive,,2,1
1614753404.0494561,171,work,,,
1614753404.553078,172,work,,,
1614753405.055985,176,receive,,2,1
1614753405.555975,178,receive,,2,1
1614753406.0902112,179,send,2,,
1614753406.5588322,180,work,,,
1614753407.0643342,183,receive,,2,1
1614753407.567656,185,receive,,2,2
1614753408.072224,186,receive,,2,1
1614753408.573911,191,receive,,2,1
1614753409.074962,192,work,,,
1614753409.5753942,193,work,,,
1614753410.079183,194,work,,,
1614753410.61834,195,send,0,,
1614753410.6442702,195,send,2,,
1614753411.087096,199,receive,,0,1
1614753411.591347,200,work,,,
1614753412.091954,205,receive,,2,1
1614753412.62926,206,send,2,,
1614753413.101423,207,work,,,
1614753413.604367,210,receive,,2,2
1614753414.1099799,211,receive,,2,1
1614753414.609799,214,receive,,2,3
1614753415.110291,215,receive,,0,2
1614753415.61069,216,receive,,2,2
1614753416.115482,218,receive,,2,2
1614753416.6206982,220,receive,,0,1
1614753417.12549,225,receive,,2,1
1614753417.630075,227,receive,,0,1
1614753418.172142,228,send,0,,
1614753418.636696,231,receive,,2,1
1614753419.1379578,234,receive,,0,1
1614753419.641325,236,receive,,2,1
1614753420.145501,237,receive,,2,2
1614753420.646859,238,receive,,2,2
1614753421.1480331,239,receive,,2,1
